id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
214,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
223,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
250,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False
260,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False
270,0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True
273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
277,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
284,0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
295,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
298,1,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True
301,1,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
304,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
324,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True
331,0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True
332,0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False
333,0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False
335,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
336,0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
339,0,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
343,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
344,0,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
350,0,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True
351,0,1,male,,0,0,35.0,S,First,man,True,C,Southampton,no,True
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False
354,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
355,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
360,0,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False
361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
364,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
365,0,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False
372,0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
373,0,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True
377,0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
382,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
384,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
385,0,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
388,0,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True
390,1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
397,0,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
398,0,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
403,0,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True
408,0,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
410,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
411,0,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True
413,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
418,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
420,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True
424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False
425,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
428,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
433,0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
434,0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False
438,0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
441,0,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False
444,1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True
447,1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
449,1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
450,0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False
451,0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
452,0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
453,1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
454,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True
456,0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True
459,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
460,1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
461,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
462,0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True
463,0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
